iter	Passed	Remaining
0	140	140690
1	143	71548
2	145	48465
3	148	36874
4	150	29856
5	152	25220
6	153	21793
7	155	19263
8	156	17258
9	157	15622
10	158	14288
11	159	13164
12	160	12213
13	161	11395
14	163	10738
15	164	10119
16	165	9563
17	166	9071
18	167	8630
19	167	8228
20	168	7862
21	169	7529
22	170	7237
23	171	6974
24	172	6723
25	173	6494
26	174	6284
27	175	6088
28	176	5915
29	178	5769
30	180	5657
31	184	5568
32	185	5436
33	186	5301
34	189	5228
35	192	5148
36	197	5130
37	199	5053
38	200	4945
39	202	4848
40	204	4779
41	205	4690
42	207	4610
43	208	4537
44	210	4471
45	212	4397
46	213	4322
47	214	4256
48	215	4190
49	217	4131
50	218	4072
51	220	4023
52	224	4002
53	225	3952
54	226	3898
55	228	3849
56	230	3806
57	231	3754
58	232	3707
59	233	3657
60	235	3621
61	236	3583
62	237	3539
63	239	3496
64	240	3453
65	241	3410
66	242	3370
67	243	3331
68	244	3293
69	245	3256
70	246	3221
71	247	3187
72	248	3153
73	249	3124
74	251	3099
75	252	3067
76	253	3037
77	254	3005
78	255	2978
79	257	2960
80	258	2933
81	259	2906
82	260	2874
83	261	2846
84	262	2821
85	263	2797
86	264	2775
87	265	2755
88	266	2732
89	267	2708
90	268	2684
91	270	2665
92	271	2649
93	272	2629
94	274	2610
95	275	2590
96	276	2570
97	277	2553
98	279	2539
99	280	2523
100	281	2507
101	282	2491
102	284	2478
103	287	2473
104	288	2456
105	289	2439
106	290	2423
107	291	2408
108	292	2393
109	294	2379
110	295	2364
111	296	2349
112	297	2334
113	298	2321
114	299	2308
115	301	2295
116	302	2279
117	303	2265
118	304	2251
119	305	2239
120	306	2226
121	307	2215
122	309	2205
123	310	2194
124	311	2181
125	312	2170
126	313	2157
127	315	2148
128	316	2137
129	317	2125
130	319	2116
131	320	2106
132	321	2097
133	323	2093
134	325	2087
135	327	2080
136	328	2071
137	330	2062
138	332	2057
139	333	2046
140	334	2035
141	334	2022
142	335	2011
143	337	2004
144	338	1995
145	339	1986
146	340	1975
147	341	1965
148	342	1958
149	343	1948
150	344	1939
151	345	1930
152	347	1921
153	348	1912
154	349	1903
155	350	1894
156	351	1886
157	368	1966
158	370	1958
159	372	1954
160	373	1944
161	374	1937
162	376	1933
163	378	1929
164	380	1923
165	382	1921
166	384	1919
167	387	1916
168	388	1911
169	390	1905
170	391	1898
171	392	1891
172	394	1883
173	395	1876
174	396	1868
175	397	1860
176	398	1853
177	400	1847
178	401	1840
179	402	1834
180	403	1827
181	404	1819
182	405	1811
183	407	1805
184	408	1799
185	409	1793
186	411	1789
187	413	1785
188	415	1783
189	417	1778
